Date,Ticker,Country,Type,Qty,Price,Currency
2024-01-01,LIQUIDBEES.NS,IND,BUY,60,1000.0,INR
2024-01-01,IDFC.NS,IND,BUY,456,126.199997,INR
2024-01-01,IDFC.NS,IND,BUY,153,126.199997,INR
2024-01-01,NCC.NS,IND,BUY,22,168.449997,INR
2024-01-01,NCC.NS,IND,BUY,2,168.449997,INR
2024-01-01,PNBHOUSING.NS,IND,BUY,1,791.75,INR
2024-01-01,M&M.NS,IND,BUY,1,1714.0,INR
2024-01-01,DBCORP.NS,IND,BUY,18,263.899994,INR
2024-01-01,MARKSANS.NS,IND,BUY,29,162.149994,INR
2024-01-01,PRESTIGE.NS,IND,BUY,1,1208.949951,INR
2024-01-01,GOKEX.NS,IND,BUY,15,820.700012,INR
2024-01-01,PCBL.NS,IND,BUY,45,252.5,INR
2024-01-01,GOKEX.NS,IND,BUY,1,820.700012,INR
2024-01-01,PNBHOUSING.NS,IND,BUY,4,791.799988,INR
2024-01-01,MARKSANS.NS,IND,BUY,29,162.149994,INR
2024-01-01,PNBHOUSING.NS,IND,BUY,2,791.849976,INR
2024-01-01,ZYDUSLIFE.NS,IND,BUY,1,686.049988,INR
2024-01-17,SENSEXBEES.NS,IND,BUY,208,809.01001,INR
2024-01-17,SENSEXBEES.NS,IND,BUY,834,809.659973,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,1000,241.520004,INR
2024-01-17,HEALTHIETF.NS,IND,BUY,1,110.629997,INR
2024-01-17,PHARMABEES.NS,IND,BUY,6,17.52,INR
2024-01-17,PHARMABEES.NS,IND,SELL,6,17.51,INR
2024-01-17,MIDCAPIETF.NS,IND,BUY,1,179.5,INR
2024-01-17,JIOFIN.NS,IND,BUY,1,244.699997,INR
2024-01-17,MON100.NS,IND,BUY,1,136.169998,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,1,240.300003,INR
2024-01-17,SENSEXBEES.NS,IND,BUY,1,805.799988,INR
2024-01-17,HDFCSML250.NS,IND,BUY,1,145.539993,INR
2024-01-17,HEALTHIETF.NS,IND,SELL,1,110.290001,INR
2024-01-17,PHARMABEES.NS,IND,BUY,6,17.48,INR
2024-01-17,PHARMABEES.NS,IND,SELL,6,17.459999,INR
2024-01-17,ICICIPRULI.NS,IND,BUY,2,517.700012,INR
2024-01-17,HDFCLIFE.NS,IND,BUY,1,614.75,INR
2024-01-17,ICICIGI.NS,IND,BUY,1,1454.949951,INR
2024-01-17,MFSL.NS,IND,BUY,1,935.0,INR
2024-01-17,SBILIFE.NS,IND,BUY,1,1413.5,INR
2024-01-17,STARHEALTH.NS,IND,BUY,1,555.049988,INR
2024-01-17,STARHEALTH.NS,IND,BUY,1,555.049988,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,28,239.789993,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,500,239.789993,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,2653,239.779999,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,347,239.809998,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,5,239.789993,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,5,239.820007,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,265,239.800003,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,100,239.830002,INR
2024-01-17,NIFTYBEES.NS,IND,BUY,4347,239.839996,INR
2024-01-17,MON100.NS,IND,BUY,32,135.589996,INR
2024-01-17,MON100.NS,IND,BUY,1,135.539993,INR
2024-01-17,MON100.NS,IND,BUY,1,135.610001,INR
2024-01-17,MON100.NS,IND,BUY,134,135.630005,INR
2024-01-17,MON100.NS,IND,BUY,32,135.619995,INR
2024-01-17,TCS.NS,IND,SELL,12,3879.5,INR
2024-01-17,TCS.NS,IND,SELL,47,3879.5,INR
2024-01-17,TCS.NS,IND,SELL,1,3879.5,INR
2024-01-17,TCS.NS,IND,SELL,22,3879.550049,INR
2024-01-17,HCLTECH.NS,IND,SELL,13,1569.849976,INR
2024-01-17,HCLTECH.NS,IND,SELL,1,1569.849976,INR
2024-01-17,HCLTECH.NS,IND,SELL,78,1569.849976,INR
2024-01-17,HCLTECH.NS,IND,SELL,8,1569.849976,INR
2024-01-17,JIOFIN.NS,IND,BUY,2,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,417,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,1,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,319,244.0,INR
2024-01-17,JIOFIN.NS,IND,BUY,91,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,93,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,7,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,70,243.949997,INR
2024-01-17,JIOFIN.NS,IND,BUY,52,244.0,INR
2024-01-17,JIOFIN.NS,IND,BUY,315,244.0,INR
2024-01-17,JIOFIN.NS,IND,BUY,133,244.0,INR
2024-01-17,JIOFIN.NS,IND,BUY,50,244.0,INR
2024-01-17,SENSEXBEES.NS,IND,BUY,1,803.099976,INR
2024-01-18,AXISBANK.NS,IND,BUY,12,1092.75,INR
2024-01-18,BANKBARODA.NS,IND,BUY,28,226.75,INR
2024-01-18,AUBANK.NS,IND,BUY,1,749.799988,INR
2024-01-18,AUBANK.NS,IND,BUY,10,749.849976,INR
2024-01-18,SBIN.NS,IND,BUY,11,627.099976,INR
2024-01-18,ICICIBANK.NS,IND,BUY,12,978.450012,INR
2024-01-18,KOTAKBANK.NS,IND,BUY,6,1773.900024,INR
2024-01-18,HDFCBANK.NS,IND,BUY,13,1506.5,INR
2024-01-18,KARURVYSYA.NS,IND,BUY,9,168.0,INR
2024-01-18,KARURVYSYA.NS,IND,BUY,33,168.0,INR
2024-01-18,KARURVYSYA.NS,IND,BUY,2,168.0,INR
2024-01-18,FEDERALBNK.NS,IND,BUY,53,144.949997,INR
2024-01-18,INDUSINDBK.NS,IND,BUY,5,1628.199951,INR
2024-01-18,MON100.NS,IND,BUY,356,135.139999,INR
2024-01-18,MON100.NS,IND,BUY,394,135.130005,INR
2024-01-19,TCS.NS,IND,BUY,22,3939.600098,INR
2024-01-19,TCS.NS,IND,BUY,10,3939.649902,INR
2024-01-19,JIOFIN.NS,IND,BUY,500,248.0,INR
2024-01-19,SBIN.NS,IND,BUY,26,629.400024,INR
2024-01-19,SBIN.NS,IND,BUY,27,629.400024,INR
2024-01-19,SBIN.NS,IND,BUY,4,629.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,17,1789.400024,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,AXISBANK.NS,IND,BUY,53,1124.849976,INR
2024-01-19,AUBANK.NS,IND,BUY,11,734.700012,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,ICICIBANK.NS,IND,BUY,58,1004.349976,INR
2024-01-19,AUBANK.NS,IND,BUY,6,734.650024,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,FEDERALBNK.NS,IND,BUY,31,146.649994,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,KOTAKBANK.NS,IND,BUY,1,1789.349976,INR
2024-01-19,FEDERALBNK.NS,IND,BUY,200,146.649994,INR
2024-01-19,INDUSINDBK.NS,IND,BUY,28,1563.199951,INR
2024-01-19,KARURVYSYA.NS,IND,BUY,30,171.550003,INR
2024-01-19,AUBANK.NS,IND,BUY,40,734.75,INR
2024-01-19,KARURVYSYA.NS,IND,BUY,182,171.550003,INR
2024-01-19,HDFCBANK.NS,IND,BUY,55,1485.0,INR
2024-01-19,HDFCBANK.NS,IND,BUY,7,1485.0,INR
2024-01-19,AXISBANK.NS,IND,BUY,3,1124.849976,INR
2024-01-19,BANKBARODA.NS,IND,BUY,138,229.850006,INR
2024-01-19,HDFCBANK.NS,IND,BUY,1,1485.0,INR
2024-01-19,FEDERALBNK.NS,IND,BUY,39,146.649994,INR
2024-01-19,AUBANK.NS,IND,BUY,1,734.75,INR
2024-01-19,KARURVYSYA.NS,IND,BUY,11,171.550003,INR
2024-01-19,MON100.NS,IND,BUY,41,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,1200,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,143,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,600,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,274,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,600,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,41,137.139999,INR
2024-01-19,MON100.NS,IND,BUY,600,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,89,137.149994,INR
2024-01-19,MON100.NS,IND,BUY,600,137.149994,INR
