Ticker,Qty,Avg_Buy_Price,Total_Invested_INR,Realized_Profit_INR,Currency,Exchange_Rate,Is_SGB
0P0000XUY3.BO,28466.1,242.382376,6899680.96,0.0,INR,1.0,False
0P0001NCLP.BO,73852.1,13.54,999957.43,0.0,INR,1.0,False
0P0001NK4B.BO,441257.34,15.637295,6900071.07,0.0,INR,1.0,False
0P0001SN1X.BO,0.01,10.7,0.11,-135243.92,INR,1.0,False
ANGELONE.NS,2.0,2343.0,4686.0,0.0,INR,1.0,False
APOLLOHOSP.NS,15.0,7050.0,105750.0,0.0,INR,1.0,False
ASHR,6.1667,25.783356,14300.3,0.0,USD,89.94,False
CFLT,3097.0,27.4,7632110.53,0.0,USD,89.94,False
COFORGE.NS,3.0,1656.2,4968.6,12805.3,INR,1.0,False
COST,14.7583,880.853388,1169210.88,0.0,USD,89.94,False
DMART.NS,26.0,3880.0,100880.0,6705.4,INR,1.0,False
ENRIN.NS,2.0,2579.4,5158.8,0.0,INR,1.0,False
ETERNAL.NS,18.0,277.15,4988.7,0.0,INR,1.0,False
HDFCSML250.NS,29946.0,167.079973,5003376.86,997.13,INR,1.0,False
HINDUNILVR.NS,43.0,2343.399902,100766.2,1211.0,INR,1.0,False
HNGSNGBEES.NS,81.0,503.485185,40782.3,0.0,INR,1.0,False
INF174KA1FQ7,48264.128,14.5028,699965.0,10678.98,INR,1.0,False
INF209KB18C5,59513.242,11.7615,699965.0,10597.72,INR,1.0,False
INF959L01FV0,47529.153,12.6232,599970.0,3457.76,INR,1.0,False
ITBEES.NS,2330.0,42.919998,100003.6,4519.97,INR,1.0,False
ITC.NS,250.0,400.75,100187.5,10328.15,INR,1.0,False
JUBLFOOD.NS,8.0,559.2,4473.6,0.0,INR,1.0,False
KAYNES.NS,1.0,3936.0,3936.0,0.0,INR,1.0,False
META,48.0345,629.754975,2720681.88,0.0,USD,89.94,False
MIDCAPETF.NS,221930.0,22.545609,5003546.9,0.0,INR,1.0,False
MOREALTY.NS,666.0,89.009819,59280.54,-33.48,INR,1.0,False
NIFTYBEES.NS,8000.0,283.104628,2264837.03,66607.45,INR,1.0,False
QQQM,477.519,204.640059,8788893.29,0.0,USD,89.94,False
SGBSEP29VI,500.0,4682.0,2341000.0,0.0,INR,1.0,True
SIEMENS.NS,2.0,3062.8,6125.6,-385.65,INR,1.0,False
SUNPHARMA.NS,3.0,1719.1,5157.3,19178.8,INR,1.0,False
TMUS,66.4961,195.5,1169218.88,0.0,USD,89.94,False
VOO,0.9573,551.461283,47480.57,0.0,USD,89.94,False
