Ticker,Qty,Avg_Buy_Price,Total_Invested_INR,Realized_Profit_INR,Currency,Exchange_Rate,Is_SGB
0P0000XUY3.BO,8161.31,245.05,1999929.02,0.0,INR,1.0,False
0P0001784M.BO,9650.16,51.81,499974.79,0.0,INR,1.0,False
0P0001BA95.BO,244820.96,30.63,7498866.0,0.0,INR,1.0,False
0P0001MSVD.BO,94707.18,15.84,1500161.73,0.0,INR,1.0,False
0P0001NCLP.BO,73852.1,13.54,999957.43,0.0,INR,1.0,False
0P0001NK4B.BO,278514.06,16.157292,4500033.08,0.0,INR,1.0,False
0P0001O7CN.BO,59715.62,16.75,1000236.64,0.0,INR,1.0,False
0P0001OEZB.BO,85130.01,14.681606,1249845.31,0.0,INR,1.0,False
0P0001RCYN.BO,86282.98,13.331571,1150287.68,0.0,INR,1.0,False
0P0001SN1X.BO,69240.51,10.833249,750099.67,0.0,INR,1.0,False
0P0001TE4J.BO,99995.0,10.0,999950.0,0.0,INR,1.0,False
INF109K012M7,4915.235,223.7828,1099945.05,-8232.75,INR,1.0,False
INF109KB10X0,17150.771,23.3214,399979.99,14297.1,INR,1.0,False
INF109KC10J7,43093.863,13.9224,599970.0,29963.82,INR,1.0,False
INF109KC11A4,53053.924,13.193463,699965.01,0.0,INR,1.0,False
INF109KC11D8,32881.692,16.178407,531973.4,0.0,INR,1.0,False
INF109KC13E2,62235.559,12.869812,800959.95,0.0,INR,1.0,False
INF174KA1FQ7,48264.128,14.5028,699965.0,10678.98,INR,1.0,False
INF174KA1OR7,139724.466,11.736799,1639918.0,0.0,INR,1.0,False
INF179KC1BM8,39666.389,15.1254,599970.0,19187.87,INR,1.0,False
INF209KB18C5,59513.242,11.7615,699965.0,10597.72,INR,1.0,False
INF247L01AV1,35853.707,14.837333,531973.4,0.0,INR,1.0,False
INF789F1AVD7,31677.319,12.6267,399980.0,14520.01,INR,1.0,False
INF959L01FP2,78943.043,13.9334,1099945.0,44554.53,INR,1.0,False
INF959L01FT4,58029.249,12.062279,699965.01,0.0,INR,1.0,False
INF959L01FV0,47529.153,12.6232,599970.0,3457.76,INR,1.0,False
N0P0001OAEY.BO,93147.78,13.415649,1249637.91,0.0,INR,1.0,False
SGBSEP29VI,500.0,4682.0,2341000.0,0.0,INR,1.0,True
