Date,Ticker,Country,Type,Qty,Price,Currency
2024-01-10,INF109KC1W58,IND,BUY,64.436,15.5184,INR
2024-01-10,INF247L01916,IND,BUY,31.963,31.2849,INR
2024-01-10,INF247L01932,IND,BUY,31.206,32.0434,INR
2024-01-10,INF204KB15W0,IND,BUY,34.917,28.6383,INR
2024-01-15,INF209KB18C5,IND,SELL,47388.037,11.4833,INR
2024-01-15,INF179KC1BM8,IND,SELL,36460.858,15.1604,INR
2024-01-15,INF109KC10J7,IND,SELL,40725.685,13.9577,INR
2024-01-15,INF109K012M7,IND,SELL,1236.378,227.8289,INR
2024-01-15,INF109KC1W58,IND,SELL,64.436,15.7232,INR
2024-01-15,INF109KB10X0,IND,SELL,11780.17,23.865,INR
2024-01-15,INF174KA1FQ7,IND,SELL,38435.084,14.1603,INR
2024-01-15,INF247L01916,IND,SELL,31.963,31.6991,INR
2024-01-15,INF247L01932,IND,SELL,31.206,32.5082,INR
2024-01-15,INF959L01FZ1,IND,SELL,65159.542,12.4267,INR
2024-01-15,INF959L01FP2,IND,SELL,59535.307,14.1857,INR
2024-01-15,INF959L01HK9,IND,SELL,25196.151,11.1492,INR
2024-01-15,INF959L01FV0,IND,SELL,43760.558,12.2698,INR
2024-01-15,INF204KB15W0,IND,SELL,34.917,29.048,INR
2024-01-15,INF789F1AVD7,IND,SELL,22154.869,12.9207,INR
2024-02-01,INF209KB18C5,IND,BUY,59513.242,11.7615,INR
2024-02-01,INF179KC1BM8,IND,BUY,39666.389,15.1254,INR
2024-02-01,INF109KC10J7,IND,BUY,43093.863,13.9224,INR
2024-02-01,INF109K012M7,IND,BUY,4915.235,223.7828,INR
2024-02-01,INF109KC1W58,IND,BUY,18946.7,15.8331,INR
2024-02-01,INF109KB10X0,IND,BUY,17150.771,23.3214,INR
2024-02-01,INF174KA1FQ7,IND,BUY,48264.128,14.5028,INR
2024-02-01,INF247L01916,IND,BUY,9396.054,31.9267,INR
2024-02-01,INF247L01932,IND,BUY,8925.123,33.6113,INR
2024-02-01,INF959L01FP2,IND,BUY,78943.043,13.9334,INR
2024-02-01,INF959L01FV0,IND,BUY,47529.153,12.6232,INR
2024-02-01,INF204KB15W0,IND,BUY,9986.717,30.0384,INR
2024-02-01,INF789F1AVD7,IND,BUY,31677.319,12.6267,INR
2024-02-06,INF109KC11A4,IND,BUY,30831.965,12.9729,INR
2024-02-06,INF174KA1OR7,IND,BUY,51104.77,11.74,INR
2024-02-06,INF959L01FT4,IND,BUY,33720.009,11.8618,INR
2024-02-08,INF109KC13E2,IND,BUY,62158.886,12.8696,INR
2024-02-19,INF109KC13E2,IND,BUY,76.673,13.0418,INR
2024-02-19,INF109KC11M9,IND,BUY,67.984,14.7087,INR
2024-02-19,INF769K01BL5,IND,BUY,54.832,91.183,INR
2024-02-19,INF769K01ED6,IND,BUY,146.098,34.222,INR
2024-02-19,INF277K015B9,IND,BUY,111.347,44.9025,INR
2024-02-21,INF754K01QD2,IND,BUY,64221.627,15.5703,INR
2024-02-21,INF109KC11D8,IND,BUY,30905.006,16.1778,INR
2024-02-21,INF174KA1OR7,IND,BUY,68861.152,11.617,INR
2024-02-21,INF247L01AV1,IND,BUY,33698.758,14.8366,INR
2024-02-21,INF277KA1612,IND,BUY,63803.654,15.6723,INR
2024-02-28,INF754K01QD2,IND,BUY,3108.129,15.4426,INR
2024-02-28,INF109KC11D8,IND,BUY,1976.686,16.1879,INR
2024-02-28,INF109KC11A4,IND,BUY,7664.097,13.0472,INR
2024-02-28,INF174KA1OR7,IND,BUY,3451.376,11.589,INR
2024-02-28,INF247L01AV1,IND,BUY,2154.949,14.8488,INR
2024-02-28,INF959L01FT4,IND,BUY,8381.53,11.9304,INR
2024-02-28,INF277KA1612,IND,BUY,3088.311,15.5417,INR
2024-03-26,INF769K01LG4,IND,BUY,105257.895,9.5,INR
2024-03-26,INF247L01932,IND,BUY,15829.558,31.5849,INR
2024-03-26,INF204KB15W0,IND,BUY,17709.639,28.2318,INR
2024-04-01,INF109KC11A4,IND,BUY,7402.431,13.5084,INR
2024-04-01,INF174KA1OR7,IND,BUY,8282.531,12.073,INR
2024-04-01,INF769K01LG4,IND,BUY,10130.179,9.871,INR
2024-04-01,INF247L01932,IND,BUY,3038.503,32.9093,INR
2024-04-01,INF959L01FT4,IND,BUY,8099.516,12.3458,INR
2024-04-01,INF204KB15W0,IND,BUY,3402.996,29.3844,INR
2024-05-02,INF109KC11A4,IND,BUY,7155.431,13.9747,INR
2024-05-02,INF174KA1OR7,IND,BUY,8024.637,12.461,INR
