Ticker,Qty,Avg_Buy_Price,Total_Invested_INR,Realized_Profit_INR,Currency,Exchange_Rate,Is_SGB
SANGHVIMOV.NS,88.0,448.082961,39431.3,3355.2,INR,1.0,False
SBCL.NS,135.0,485.421485,65531.9,876.9,INR,1.0,False
SBICARD.NS,846.0,749.513472,634088.4,0.0,INR,1.0,False
SBIN.NS,2.0,644.150024,1288.3,7504.4,INR,1.0,False
SGBSEP29VI,500.0,4682.0,2341000.0,0.0,INR,1.0,True
SHAKTIPUMP.NS,46.0,782.472823,35993.75,4344.4,INR,1.0,False
SJVN.NS,370.0,74.399592,27527.85,0.0,INR,1.0,False
SKIPPER.NS,147.0,243.604762,35809.9,0.0,INR,1.0,False
SONATSOFTW.NS,55.0,1449.0,79695.0,6389.0,INR,1.0,False
SUNPHARMA.NS,76.0,1146.060515,87100.6,0.0,INR,1.0,False
SUVENPHAR.NS,166.0,566.815667,94091.4,0.0,INR,1.0,False
SYNGENE.NS,113.0,712.758404,80541.7,0.0,INR,1.0,False
TATACHEM.NS,68.0,964.615443,65593.85,-56.25,INR,1.0,False
TATACONSUM.NS,98.0,907.861735,88970.45,19164.15,INR,1.0,False
TATAMOTORS.NS,96.0,644.060437,61829.8,0.0,INR,1.0,False
TATAPOWER.NS,408.0,242.930886,99115.8,3910.8,INR,1.0,False
TATASTEEL.NS,1226.0,120.116273,147262.55,-62.5,INR,1.0,False
TCS.NS,121.0,3431.862365,415255.35,964.95,INR,1.0,False
TDPOWERSYS.NS,132.0,193.060224,25483.95,0.0,INR,1.0,False
TECHNOE.NS,58.0,402.297414,23333.25,0.0,INR,1.0,False
TITAN.NS,35.0,2757.697133,96519.4,68.9,INR,1.0,False
TORNTPOWER.NS,45.0,789.687758,35535.95,-120.95,INR,1.0,False
TRITURBINE.NS,66.0,408.625757,26969.3,-687.8,INR,1.0,False
UJJIVANSFB.NS,1272.0,52.927124,67323.3,0.0,INR,1.0,False
VOLTAS.NS,97.0,837.466492,81234.25,40.2,INR,1.0,False
ZENSARTECH.NS,235.0,449.593393,105654.45,0.0,INR,1.0,False
ZYDUSLIFE.NS,76.0,530.305916,40303.25,0.0,INR,1.0,False
