Date,Ticker,Country,Type,Qty,Price,Currency
2022-01-10,INF109K012M7,IND,BUY,274.305,182.2696,INR
2022-01-10,INF789F01XA0,IND,BUY,413.118,121.0247,INR
2022-01-28,INF109K012M7,IND,BUY,288.631,173.2227,INR
2022-01-28,INF789F01XA0,IND,BUY,434.825,114.9831,INR
2022-02-28,INF109K012M7,IND,BUY,293.64,170.2683,INR
2022-02-28,INF789F01XA0,IND,BUY,442.144,113.0797,INR
2022-03-29,INF109K012M7,IND,BUY,284.735,175.5931,INR
2022-03-29,INF789F01XA0,IND,BUY,428.695,116.6273,INR
2022-05-02,INF109K012M7,IND,BUY,577.881,173.0375,INR
2022-05-02,INF789F01XA0,IND,BUY,870.073,114.9271,INR
2022-05-31,INF109K012M7,IND,BUY,296.274,168.7544,INR
2022-05-31,INF789F01XA0,IND,BUY,446.071,112.0841,INR
2022-06-30,INF109K012M7,IND,BUY,310.93,160.7997,INR
2022-06-30,INF789F01XA0,IND,BUY,468.132,106.8022,INR
2022-08-02,INF109K012M7,IND,BUY,282.489,176.9894,INR
2022-08-02,INF789F01XA0,IND,BUY,425.299,117.5585,INR
2022-08-29,INF109K012M7,IND,BUY,282.518,176.9711,INR
2022-08-29,INF789F01XA0,IND,BUY,425.348,117.545,INR
2022-09-13,INF109K012M7,IND,BUY,1624.303,184.6854,INR
2022-09-13,INF789F01XA0,IND,BUY,2445.453,122.6705,INR
2022-10-04,INF109K012M7,IND,BUY,566.44,176.5323,INR
2022-10-04,INF789F01XA0,IND,BUY,852.767,117.2595,INR
2022-10-31,INF109K012M7,IND,BUY,542.725,184.246,INR
2022-10-31,INF789F01XA0,IND,BUY,817.078,122.3812,INR
